"","Unique_ID","Name","Views","Comments","Likes","Popularity","Followers","Day_Stamp","Month_Stamp","Year_Stamp","Hour_Stamp","Min_Stamp","Sec_Stamp","songs.Genreall.music","songs.Genrealternativerock","songs.Genreambient","songs.Genreclassical","songs.Genrecountry","songs.Genredanceedm","songs.Genredeephouse","songs.Genredisco","songs.Genredrumbass","songs.Genredubstep","songs.Genreelectronic","songs.Genrefolksingersongwriter","songs.Genrehiphoprap","songs.Genreindie","songs.Genrelatin","songs.Genremetal","songs.Genrepop","songs.Genrerbsoul","songs.Genrereggaeton","songs.Genrerock","songs.Genretrap"
"72",1380693,735,355330,6.10702288774225,7213,4,83052,14,1,2013,18,59,31,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"76",1548101,832,319531,4.27666611901606,6361,5713,20822,1,3,2017,17,47,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"85",1128115,621,3462,5.2040066870768,4812,2953,1692,11,2,2019,8,45,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"87",1235905,633,646908,5.0998664278242,1124,1865,207678,6,3,2014,1,32,46,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"91",1392493,738,313494,4.12713438504509,7898,408,49788,16,10,2017,17,2,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"92",1392495,738,177746,3.87120101090789,4217,56,49788,29,11,2016,17,51,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"96",1543087,829,23747,3.80666248977032,7721,1145,52573,26,1,2013,23,54,28,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"97",293534,243,9981634,5.31811999384422,1061,2750,4003,3,8,2016,20,10,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"98",662183,495,24442,3.3322045101752,6849,1125,81613,25,3,2014,15,23,35,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"100",1557588,556,40983,3.25809653802148,194,4298,5106,3,12,2018,3,50,17,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"102",1321837,713,15554,4.21950770517611,5778,1118,87682,11,12,2018,10,0,10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"106",1128098,621,3207,5.09375020080676,3805,2226,1692,17,2,2019,5,44,29,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"109",1415264,753,21727,3.97029191355212,8389,1182,211419,23,2,2016,16,24,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"112",384003,311,237855,4.62497281328427,8126,566,58988,1,6,2016,19,0,47,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"132",473101,351,78866,4.00733318523247,1782,3009,66412,22,2,2015,23,45,24,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"144",1524766,810,9362,3.29583686600433,6858,1071,86266,23,1,2019,19,4,21,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"149",1085593,476,1870278,3.3322045101752,6516,4245,3148,14,4,2013,2,24,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"156",1414194,751,70960,3.09104245335832,90,1072,176760,17,12,2016,4,47,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"160",1144053,639,12459,3.29583686600433,8314,1076,143726,5,9,2016,8,55,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"162",973146,558,115266,4.14313472639153,3213,741,103301,7,11,2015,15,8,56,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"170",1108336,617,38940,4.57471097850338,8458,2100,166617,20,6,2016,12,40,57,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"172",1537386,823,22861,4.86753445045558,543,2184,8850,16,1,2019,17,47,57,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"176",566819,440,170426,5.70044357339069,4392,4730,36043,29,8,2016,18,26,32,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"182",702265,512,83321,3.43398720448515,1643,3086,6822,2,7,2018,15,9,51,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"183",1543073,829,11462,3.49650756146648,2597,3647,52573,24,6,2013,18,44,16,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"189",1321847,713,17173,3.40119738166216,4767,5098,87682,5,12,2018,14,8,40,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"195",572603,449,3359,5.51342874616498,3856,2201,20271,13,10,2018,8,39,15,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"203",508740,384,44324,3.25809653802148,327,2258,107335,24,2,2017,13,38,49,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"205",175014,171,8468,3.17805383034795,3598,4298,143743,18,6,2018,11,48,50,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"206",321612,266,49528,3.2188758248682,1365,3672,100197,4,9,2017,20,23,13,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"208",257285,197,97622,3.40119738166216,2001,2140,47883,2,5,2017,0,17,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"211",1137111,629,59275,3.80666248977032,364,2223,46437,26,1,2015,19,16,40,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"214",268318,206,91066,4.36944785246702,3068,2951,85070,15,1,2019,16,45,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"216",1274063,682,86646,3.40119738166216,647,5087,57297,30,11,2018,5,1,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"217",50443,52,41057,4.11087386417331,297,2238,11614,8,2,2017,18,52,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"219",598151,459,2023660,5.90536184805457,4927,867,33451,18,12,2018,1,2,46,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"226",1079551,603,18595,3.46573590279973,2502,2129,13007,25,7,2012,13,22,30,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"229",1018254,567,16529,3.3322045101752,6849,1002,174379,3,12,2018,10,17,40,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"234",1108364,617,621176,5.18178355029209,1096,1513,166617,29,10,2015,14,48,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"235",1196819,645,17353,5.73657229747919,541,3673,67797,11,1,2019,14,55,44,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"236",326246,270,643724,4.0943445622221,1041,1212,3511,2,9,2018,16,38,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"243",34486,37,89035,4.07753744390572,584,1146,17728,28,8,2016,15,33,58,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"250",907797,531,12693,3.73766961828337,2524,4327,155645,4,9,2012,17,42,25,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"261",1432231,765,28107,3.76120011569356,129,2180,76211,3,10,2017,7,38,17,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"271",153673,405,40405,4.38202663467388,8338,2241,19806,10,11,2016,14,46,27,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"272",1173829,640,60966,3.49650756146648,159,5049,13297,8,12,2016,21,55,38,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"275",593083,456,2298233,4.18965474202643,3710,1910,121611,6,9,2015,8,39,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"277",1432133,765,42945,4.29045944114839,1001,3030,76211,3,3,2018,11,30,58,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"279",141936,135,16910,4.38202663467388,8431,1170,47142,17,12,2018,23,12,35,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"281",278205,213,18916,3.40119738166216,9085,1005,31450,28,10,2018,10,47,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"284",220809,178,48582,3.97029191355212,2177,4203,141507,11,11,2018,21,30,30,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"285",287764,236,12984,5.17614973257383,7728,2220,57080,19,12,2017,16,28,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"297",1262400,671,19541,3.80666248977032,8392,2122,10365,10,10,2017,20,18,31,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"302",1415252,753,13606,3.17805383034795,4883,1077,211419,26,3,2016,18,54,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"308",1196840,645,42735,5.54907608489522,992,3765,67797,6,8,2018,13,29,13,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"318",1543019,829,64579,3.97029191355212,2317,4654,52573,25,12,2016,15,25,59,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"320",148899,145,70022,3.04452243772342,509,2265,9478,26,3,2015,10,47,56,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"331",438153,328,1772185,6.11589212548303,4749,4790,152245,13,5,2016,12,54,11,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"334",256067,196,167863,3.66356164612965,4375,2107,73750,20,8,2018,22,16,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"341",212939,177,29383,3.17805383034795,6761,1118,29446,18,3,2014,14,1,58,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"348",491772,382,367783,4.61512051684126,3307,3028,6396,5,10,2015,22,30,47,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"355",511331,391,66254,4.00733318523247,53,1078,66749,24,8,2012,22,0,46,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"359",1419317,760,24737,3.43398720448515,9069,1206,142334,21,1,2019,13,51,46,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"361",1322576,713,47631,3.71357206670431,1557,2969,87682,3,11,2017,14,15,32,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"370",294573,247,23497,3.04452243772342,9125,1146,52808,19,1,2018,9,23,45,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"374",285625,233,225560,3.2188758248682,3510,4259,17700,8,11,2015,21,43,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"380",459861,563,100026,4.27666611901606,2089,4216,29360,19,8,2016,18,26,54,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"382",1431894,765,7727,4.57471097850338,4785,5697,76211,12,11,2018,17,47,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"384",1322758,713,4870,4.59511985013459,2632,1000,87682,13,7,2017,15,14,50,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"386",1074311,592,1172805,5.8636311755981,2613,3830,40336,26,10,2016,13,40,39,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"387",1144310,639,13242,3.49650756146648,7658,1045,143726,5,1,2016,16,39,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"388",92504,78,155826,4.84418708645859,3913,4686,157004,14,7,2016,15,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"391",183011,165,73032,4.62497281328427,1495,3733,86766,10,7,2017,13,24,15,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"400",477018,352,152632,4.54329478227,2008,4624,105639,14,3,2013,16,49,42,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"405",1139056,632,38294,3.66356164612965,575,2201,61261,14,9,2018,14,6,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"410",321577,266,7038,3.29583686600433,4808,5098,100197,26,11,2018,17,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"418",221193,178,29896,4.49980967033027,172,2957,141507,4,6,2015,19,1,18,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"419",1061086,582,47281,3.52636052461616,4942,4286,48781,18,6,2013,18,18,37,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"423",1521333,805,64056,4.14313472639153,3138,4661,28556,9,11,2018,17,39,22,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"426",1466189,784,141788,4.75359019110636,4245,401,53681,21,11,2016,18,5,15,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"427",92415,78,60208,3.17805383034795,966,2237,157004,18,7,2017,14,49,16,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"428",14022,208,174380,4.33073334028633,2963,2126,131670,11,10,2016,4,9,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"432",1483717,790,87005,3.46573590279973,8375,1126,189321,22,7,2014,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"434",477290,353,41990,6.30627528694802,2184,5056,10198,28,8,2018,14,2,24,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"435",438088,328,101472,4.91998092582813,1952,4224,152245,30,11,2016,17,22,49,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"437",525594,408,882577,5.11799381241676,1222,2681,185989,14,4,2015,16,29,55,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"443",540001,414,15625,4.15888308335967,4862,5098,165268,8,12,2013,17,44,18,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"447",523879,407,5832937,6.43615036836943,1076,986,83372,7,8,2017,17,22,30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"451",1322780,713,32779,3.61091791264422,107,2125,87682,22,6,2017,11,55,32,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"452",694766,509,550954,3.29583686600433,5628,1551,123501,25,5,2018,11,44,38,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"453",116463,108,13118857,5.03043792139244,1231,2504,3150,7,7,2017,3,24,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"454",517578,394,225598,3.2188758248682,5150,5047,169648,9,8,2017,17,2,12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"459",483573,355,153607,4.86753445045558,5559,378,23883,28,12,2016,16,57,16,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"467",175489,171,21215,3.63758615972639,9188,1186,143743,14,3,2016,12,22,59,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"468",1456659,769,31306,3.91202300542815,7574,1192,17554,21,11,2016,18,52,52,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"473",97826,83,110162,3.80666248977032,823,5605,24429,11,10,2017,11,34,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"475",283968,229,64553,3.66356164612965,826,1125,8642,6,2,2019,19,31,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"478",186150,166,4581,6.40025744530882,7591,4319,11913,27,1,2017,13,51,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"480",1144409,639,11064,3.17805383034795,18,1116,143726,5,1,2016,16,34,15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"481",174976,171,25320,3.43398720448515,397,2077,143743,16,8,2018,13,16,33,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"482",694290,508,98802,4.29045944114839,3954,2140,31423,13,11,2018,17,13,49,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"493",282860,221,156484,4.06044301054642,3298,2264,5197,3,8,2018,20,46,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"494",1143780,639,26324,4.14313472639153,450,1208,143726,17,9,2018,10,43,48,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"499",1543026,829,334892,6.32076829425058,1161,2280,52573,28,4,2016,19,23,37,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"503",572604,449,12187,6.2363695902037,7629,4229,20271,22,9,2018,12,22,57,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"505",65508,58,27946,5.08759633523238,168,3009,4289,6,5,2018,21,31,13,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"506",467408,696,2187982,6.25382881157547,4777,4960,95449,24,2,2016,15,13,50,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"511",287778,236,20126,4.96284463025991,9183,2259,57080,1,11,2017,14,15,14,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"515",237061,183,111546,3.52636052461616,614,1056,66249,25,1,2016,3,29,15,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"516",5104,11,370715,6.0330862217988,1126,1898,101468,23,12,2015,19,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"517",1314602,698,18209,3.66356164612965,2557,1128,69665,28,10,2010,3,10,51,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"526",540009,414,20987,4.24849524204936,6735,5674,165268,26,2,2013,14,19,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"532",1241850,661,778731,6.4085287910595,1124,4261,13413,30,12,2015,19,40,59,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"538",1322878,713,5021,4.48863636973214,2475,5334,87682,14,3,2017,9,9,40,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"545",1457511,774,21516,3.2188758248682,3600,5062,60805,8,11,2013,19,49,19,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"547",50439,52,51856,4.27666611901606,904,3085,11614,18,4,2017,19,40,21,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"548",1254241,668,2486681,3.09104245335832,4877,21,87801,5,5,2017,21,8,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"559",294606,247,35656,3.25809653802148,239,1139,52808,23,10,2017,12,51,57,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"565",322426,267,3354333,6.17586727010576,4932,5172,140061,20,1,2014,1,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"568",574362,451,1909022,3.63758615972639,3868,5103,183420,4,11,2017,1,39,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"571",907689,531,52094,4.66343909411207,9123,2217,155645,5,8,2013,13,13,57,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"575",41986,46,103269,5.40267738187228,4336,5084,196619,5,7,2018,15,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"582",531265,411,5457,4.0943445622221,1228,1010,22195,7,2,2011,19,57,29,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"583",630179,484,23288,3.43398720448515,9069,1145,176366,13,10,2018,18,42,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"586",1561108,838,125735,3.36729582998647,1916,4303,26225,10,9,2015,18,9,33,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"592",1101715,613,2316,4.47733681447821,2390,4614,3515,25,12,2015,18,23,22,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"593",1029377,56,34323,4.07753744390572,9184,1210,28069,16,9,2013,7,59,20,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"595",314167,263,38691,3.29583686600433,523,2105,43105,19,10,2018,5,34,19,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"596",624747,269,524125,4.44265125649032,1066,1297,132753,3,10,2017,19,31,19,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"622",109789,103,70502,5.47646355193151,1492,4321,44222,27,12,2016,17,37,34,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"623",1321507,711,3195,4.0943445622221,1263,1139,2978,13,1,2018,18,5,36,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"626",1322551,713,2962,3.95124371858143,1207,4614,87682,14,11,2017,11,37,16,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"627",1532006,817,15865,3.71357206670431,3637,3051,146569,30,3,2012,15,24,57,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"628",1393442,84,68695,3.71357206670431,550,2148,90704,13,6,2012,14,59,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"635",1507702,804,22802,3.29583686600433,1273,4986,10888,21,7,2017,9,5,37,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"636",452727,339,31291,5.42934562895444,164,3103,106971,29,8,2016,17,11,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"639",1557626,556,95679,3.63758615972639,768,4197,5106,29,4,2018,23,9,16,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"644",1401204,742,82564,3.3322045101752,1485,3086,37485,6,6,2017,17,24,15,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"647",1519883,589,36209,3.04452243772342,9163,1167,191199,26,12,2018,15,27,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"658",1531914,817,145774,4.47733681447821,5213,5634,146569,18,1,2017,21,29,45,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"661",435993,327,29817,4.83628190695148,2076,3753,23259,3,1,2019,23,25,51,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
