"","Unique_ID","Name","Genre","Song_Name","Views","Comments","Likes","Popularity","Followers","Day_Stamp","Month_Stamp","Year_Stamp","Hour_Stamp","Min_Stamp","Sec_Stamp"
"97",293534,"DyAze","reggaeton","Zion Y Lennox Ft. J Balvin - Otra Vez (Prod. Dyaze)(Descarga Directa)",9981634,5.31811999384422,1061,2750,4003,3,8,2016,20,10,24
"98",662183,"Masters of Hardcore","danceedm","N3AR - Masters of Hardcore - Empire of Eternity Podcast #7",24442,3.3322045101752,6849,1125,81613,25,3,2014,15,23,35
"100",1557588,"Nick Nitro","electronic","DELTARUNE - ""Rude Buster [Battle Theme]"" NITRO Remix",40983,3.25809653802148,194,4298,5106,3,12,2018,3,50,17
"102",1321837,"Sweet Musique","deephouse","Sweet Mixtape #98 : Monkey Safari",15554,4.21950770517611,5778,1118,87682,11,12,2018,10,0,10
"106",1128098,"Quỳnh Anh Shin","danceedm","Don't Ya 2019 - K bít ai mix",3207,5.09375020080676,3805,2226,1692,17,2,2019,5,44,29
"109",1415264,"Trap Sounds","trap","MILANO ✖ HVRDWOOD - 40 CAL [Premiere]",21727,3.97029191355212,8389,1182,211419,23,2,2016,16,24,5
"112",384003,"Good Enuff","danceedm","Wuki - Where You At?",237855,4.62497281328427,8126,566,58988,1,6,2016,19,0,47
"132",473101,"Ivy Lab","electronic","Ivy Lab - Planebeats",78866,4.00733318523247,1782,3009,66412,22,2,2015,23,45,24
"144",1524766,"When We Dip","deephouse","Premiere: Raito - Never Felt This Way [Suara]",9362,3.29583686600433,6858,1071,86266,23,1,2019,19,4,21
"149",1085593,"LuisPerez13","latin","Calibre 50 - Entre La Vida y La Muerte [2013]",1870278,3.3322045101752,6516,4245,3148,14,4,2013,2,24,46
"156",1414194,"Trap Music HD","trap","Ivan Reys - Christmas Song",70960,3.09104245335832,90,1072,176760,17,12,2016,4,47,36
"160",1144053,"Resident Advisor","ambient","RA.536 The Exaltics",12459,3.29583686600433,8314,1076,143726,5,9,2016,8,55,7
"162",973146,"Ninety9Lives","danceedm","Wisp X - Sparkling Tides",115266,4.14313472639153,3213,741,103301,7,11,2015,15,8,56
"170",1108336,"Protocol Recordings","danceedm","Arno Cost ft. River - Coming Alive (Simon de Jano & Madwill Remix) // July 1",38940,4.57471097850338,8458,2100,166617,20,6,2016,12,40,57
"172",1537386,"Xavi","electronic","Your Struggle is Also Mine",22861,4.86753445045558,543,2184,8850,16,1,2019,17,47,57
"176",566819,"Laszlo","electronic","Airglow",170426,5.70044357339069,4392,4730,36043,29,8,2016,18,26,32
"182",702265,"Midoca","electronic","Midoca & badXchannels - I'm Sorry I'm Gone [Lowly Palace]",83321,3.43398720448515,1643,3086,6822,2,7,2018,15,9,51
"183",1543073,"Yheti","electronic","Yheti-Tongue Twista VIP (VIP)",11462,3.49650756146648,2597,3647,52573,24,6,2013,18,44,16
"189",1321847,"Sweet Musique","deephouse","PREMIERE : Acado, Modest Crow - Pueblo [TRAUM]",17173,3.40119738166216,4767,5098,87682,5,12,2018,14,8,40
"195",572603,"LEEDJ - Fb: Bùi Kim Tân - DJ MR.LEE ✪","danceedm","Release Me - Tino Remix",3359,5.51342874616498,3856,2201,20271,13,10,2018,8,39,15
"203",508740,"Julian Jordan","danceedm","Say Love (x Sj)",44324,3.25809653802148,327,2258,107335,24,2,2017,13,38,49
"205",175014,"DHA AM (Deep House London)","electronic","Premiere: LAAZ - Circles (Original Mix) [Crossings]",8468,3.17805383034795,3598,4298,143743,18,6,2018,11,48,50
"206",321612,"EPHWURD","danceedm","Ephwurd presents Eph'd Up Radio #008",49528,3.2188758248682,1365,3672,100197,4,9,2017,20,23,13
"208",257285,"DJ GUI MARQUES","rbsoul","MC BOMBOM E MC LUAN DA BS - BROTA NO SUBACO {GUI M@RQUES, V!TIN MPC, DJ RC E EVERTON MARTINS}",97622,3.40119738166216,2001,2140,47883,2,5,2017,0,17,14
"211",1137111,"Radical Redemption","danceedm","Judge Me (Teaser)",59275,3.80666248977032,364,2223,46437,26,1,2015,19,16,40
"214",268318,"DJ PH DA SERRA","rbsoul","- MC LIL - MEGA 2K19 - PART HAVAIANOS E NANDINHO - RELIKIA - DJ PH DA SERRA E DJ VITIN DO PC + 18",91066,4.36944785246702,3068,2951,85070,15,1,2019,16,45,1
"216",1274063,"Skinnyfromthe9","all-music","Knife",86646,3.40119738166216,647,5087,57297,30,11,2018,5,1,14
"217",50443,"arael","electronic","haunting",41057,4.11087386417331,297,2238,11614,8,2,2017,18,52,11
"219",598151,"Lil Keed","all-music","Its Up Freestyle (prod. jetsonmade)",2023660,5.90536184805457,4927,867,33451,18,12,2018,1,2,46
"226",1079551,"Plasmapool","danceedm","Matroda - Phunkshock",18595,3.46573590279973,2502,2129,13007,25,7,2012,13,22,30
"229",1018254,"Nora En Pure","electronic","Purified #119",16529,3.3322045101752,6849,1002,174379,3,12,2018,10,17,40
"234",1108364,"Protocol Recordings","danceedm","Florian Picasso - Want It Back (Origami) // OUT NOW",621176,5.18178355029209,1096,1513,166617,29,10,2015,14,48,0
"235",1196819,"Riddim Network","danceedm","EXCLUSION - COLD BLOOD (Riddim Network 2019 Showcase EP) Free Download",17353,5.73657229747919,541,3673,67797,11,1,2019,14,55,44
"236",326246,"FACE","all-music","FACE - САЛАМ",643724,4.0943445622221,1041,1212,3511,2,9,2018,16,38,13
"243",34486,"Alicks","electronic","i really miss my dog",89035,4.07753744390572,584,1146,17728,28,8,2016,15,33,58
"250",907797,"Morgan Page","danceedm","Morgan Page - In The Air - Episode 115",12693,3.73766961828337,2524,4327,155645,4,9,2012,17,42,25
"261",1432231,"trndmsk","deephouse","Einmusik - Nordkapp",28107,3.76120011569356,129,2180,76211,3,10,2017,7,38,17
"271",153673,"KHARFI","danceedm","Kharfi - Hei Bae (Asteroidz x DopeSquad Remix)",40405,4.38202663467388,8338,2241,19806,10,11,2016,14,46,27
"272",1173829,"RetroSpecter","electronic","Pokémon Sun/Moon Remix: Vs. Guzma Battle",60966,3.49650756146648,159,5049,13297,8,12,2016,21,55,38
"275",593083,"Lil Durk","all-music","LIKE ME (REMIX) Ft. Lil Wayne x Fetty Wap x Jeremih",2298233,4.18965474202643,3710,1910,121611,6,9,2015,8,39,8
"277",1432133,"trndmsk","deephouse","Kyrill & Redford - Superstition (Lukas Endhardt Remix)",42945,4.29045944114839,1001,3030,76211,3,3,2018,11,30,58
"279",141936,"Complexion","electronic","The Future Beats Show 197",16910,4.38202663467388,8431,1170,47142,17,12,2018,23,12,35
"281",278205,"DJ TiDi","electronic","NST Vol.18 Phải Thật Hạnh Phúc - DJ Tidi",18916,3.40119738166216,9085,1005,31450,28,10,2018,10,47,1
"284",220809,"Disciple ♛ ♜ ♞","dubstep","Oliverse - Get 2 Me (Franky Nuts Remix)",48582,3.97029191355212,2177,4203,141507,11,11,2018,21,30,30
"285",287764,"Drop Central 💧","electronic","Bryson Price - Unashamed feat. Adriana",12984,5.17614973257383,7728,2220,57080,19,12,2017,16,28,5
"297",1262400,"Shanghai Doom","electronic","Shanghai Doom - Goblins",19541,3.80666248977032,8392,2122,10365,10,10,2017,20,18,31
"302",1415252,"Trap Sounds","trap","lollibus. - DAWM! [Exclusive]",13606,3.17805383034795,4883,1077,211419,26,3,2016,18,54,45
"308",1196840,"Riddim Network","danceedm","HU$KY Vs Virtual Riot - $hindeiru [FREE DOWNLOAD] (Riddim Network Exclusive)",42735,5.54907608489522,992,3765,67797,6,8,2018,13,29,13
"318",1543019,"Yheti","electronic","Yheti & Toadface - Holiday",64579,3.97029191355212,2317,4654,52573,25,12,2016,15,25,59
"320",148899,"Crisis Era","danceedm","Make It Pop (Radio Edit)",70022,3.04452243772342,509,2265,9478,26,3,2015,10,47,56
"331",438153,"HEXAGON","deephouse","Madison Mars - Ready Or Not",1772185,6.11589212548303,4749,4790,152245,13,5,2016,12,54,11
"334",256067,"DJ GABRIEL DO BOREL","all-music","MC PEZÃO - SENTA SEM PARAR [[ DJ GABRIEL DO BOREL ]] VERSÃO PUTARIA HAVANA",167863,3.66356164612965,4375,2107,73750,20,8,2018,22,16,6
"341",212939,"Dirty Workz","danceedm","Noisecult - Punchlines (Official HQ Preview)",29383,3.17805383034795,6761,1118,29446,18,3,2014,14,1,58
"348",491772,"jrmusic","electronic","Fibulafight (Nyeh heh heh/Bountrousle)",367783,4.61512051684126,3307,3028,6396,5,10,2015,22,30,47
"355",511331,"Kalya Scintilla","electronic","You Are Divine",66254,4.00733318523247,53,1078,66749,24,8,2012,22,0,46
"359",1419317,"Tribal Trap","danceedm","Marc Madness - Neon Lights",24737,3.43398720448515,9069,1206,142334,21,1,2019,13,51,46
"361",1322576,"Sweet Musique","deephouse","PREMIERE : JOBE - Boma [Chapter 24]",47631,3.71357206670431,1557,2969,87682,3,11,2017,14,15,32
"370",294573,"EATBRAIN","drumbass","L 33 - Last Signal (Eatbrain 051)",23497,3.04452243772342,9125,1146,52808,19,1,2018,9,23,45
"374",285625,"Donia Anis","rock","Hello - Adele",225560,3.2188758248682,3510,4259,17700,8,11,2015,21,43,30
"380",459861,"No Mana","electronic","No Mana - Lethargy (feat. Cafcat)",100026,4.27666611901606,2089,4216,29360,19,8,2016,18,26,54
"382",1431894,"trndmsk","deephouse","Indygo - Seaquest",7727,4.57471097850338,4785,5697,76211,12,11,2018,17,47,8
"384",1322758,"Sweet Musique","deephouse","FREE DOWNLOAD: Hush & Sleep - Nahe (Lake Avalon Remix)",4870,4.59511985013459,2632,1000,87682,13,7,2017,15,14,50
"386",1074311,"Party Pupils","danceedm","Pony",1172805,5.8636311755981,2613,3830,40336,26,10,2016,13,40,39
"387",1144310,"Resident Advisor","ambient","RA.171 Erol Alkan",13242,3.49650756146648,7658,1045,143726,5,1,2016,16,39,3
"388",92504,"Barong Family","danceedm","Cesqeaux - Wylin pt. 3 [OUT NOW]",155826,4.84418708645859,3913,4686,157004,14,7,2016,15,0,3
"391",183011,"Deep Root Records","electronic","Obregon - I Need U",73032,4.62497281328427,1495,3733,86766,10,7,2017,13,24,15
"400",477018,"JACKAL","electronic","Jackal - Bumpin' (Original Mix) [FREE DOWNLOAD]",152632,4.54329478227,2008,4624,105639,14,3,2013,16,49,42
"405",1139056,"Rampa","electronic","Rampa - Sunday",38294,3.66356164612965,575,2201,61261,14,9,2018,14,6,11
"410",321577,"EPHWURD","danceedm","Ephwurd Presents Eph'd Up Radio #036 (LOUD ABOUT US! GUEST MIX)",7038,3.29583686600433,4808,5098,100197,26,11,2018,17,0,4
"418",221193,"Disciple ♛ ♜ ♞","dubstep","Dodge & Fuski - Jump [Out Now]",29896,4.49980967033027,172,2957,141507,4,6,2015,19,1,18
"419",1061086,"OneyMusic","electronic","Tenacious D Orchestrated",47281,3.52636052461616,4942,4286,48781,18,6,2013,18,18,37
"423",1521333,"WAVEDASH","electronic","BSTRD (feat. QUEST)",64056,4.14313472639153,3138,4661,28556,9,11,2018,17,39,22
"426",1466189,"Uprise Music","electronic","Jameston Thieves & Aaron Jackson - Wonder (Ft. Megan Hamilton)",141788,4.75359019110636,4245,401,53681,21,11,2016,18,5,15
"427",92415,"Barong Family","danceedm","Menasa & Cesqeaux - Tur Hende Hisa Man [FREE DOWNLOAD]",60208,3.17805383034795,966,2237,157004,18,7,2017,14,49,16
"428",14022,"DJ R7","rbsoul","MC Kalzin, MC G15, MC Pierre - Putaria Pra Elas (DJ R7) Lançamento 2016",174380,4.33073334028633,2963,2126,131670,11,10,2016,4,9,34
"432",1483717,"Valentino Khan","danceedm","Haunted (Interlude)",87005,3.46573590279973,8375,1126,189321,22,7,2014,0,0,0
"434",477290,"JACKNIFE","electronic","Habstrakt - Vibin (JACKNIFE Recut)",41990,6.30627528694802,2184,5056,10198,28,8,2018,14,2,24
"435",438088,"HEXAGON","deephouse","Don Diablo - Hexagon Radio Episode 096",101472,4.91998092582813,1952,4224,152245,30,11,2016,17,22,49
"437",525594,"Kill Paris","electronic","Operate (feat. Imad Royal)",882577,5.11799381241676,1222,2681,185989,14,4,2015,16,29,55
"443",540001,"Kompakt","electronic","KOMPAKT.FM Advent Drop: Geoffroy Mugwump",15625,4.15888308335967,4862,5098,165268,8,12,2013,17,44,18
"447",523879,"KiD TRUNKS","all-music","KiD TRUNKS - ""TALK"" (Prod. Jimmy Duval)",5832937,6.43615036836943,1076,986,83372,7,8,2017,17,22,30
"451",1322780,"Sweet Musique","deephouse","PREMIERE : Marc Romboy - Trapped In An Orbit [These Eyes]",32779,3.61091791264422,107,2125,87682,22,6,2017,11,55,32
"452",694766,"Metanoia Music","danceedm","John Christian - WHAT (2018 Edit)",550954,3.29583686600433,5628,1551,123501,25,5,2018,11,44,38
"453",116463,"Bryant Myers & Miky Woodz - Cambio De Clima Album","latin","Escapate Conmigo Remix - Wisin ❌ Ozuna ❌ Bad Bunny ❌ De La Ghetto ❌ Arcangel ❌ Noriel ❌ Almighty",13118857,5.03043792139244,1231,2504,3150,7,7,2017,3,24,57
"454",517578,"Kap Slap","danceedm","Cheat Codes - No Promises ft. Demi Lovato (Kap Slap Remix)",225598,3.2188758248682,5150,5047,169648,9,8,2017,17,2,12
"459",483573,"Jadū Dala","danceedm","Cozway - Windbreaker (JADŪ028)",153607,4.86753445045558,5559,378,23883,28,12,2016,16,57,16
"467",175489,"DHA AM (Deep House London)","electronic","LS15 | Snatch! Records | Riva Starr",21215,3.63758615972639,9188,1186,143743,14,3,2016,12,22,59
"468",1456659,"Twilight Notes","danceedm","The Him - Balance (Rampa Remix)",31306,3.91202300542815,7574,1192,17554,21,11,2016,18,52,52
"473",97826,"Beast Inside Beats - Type Trap/Rap Instrumentals","trap","XXXTENTACION ✘ Kodak Black - ""Hard For"" (Type Beat Instrumental) Free 2019 - Beast Inside Beats",110162,3.80666248977032,823,5605,24429,11,10,2017,11,34,42
"475",283968,"Doghouse Radio","alternativerock","Kayzo Doghouse Radio #019 (Insomniac Radio)",64553,3.66356164612965,826,1125,8642,6,2,2019,19,31,9
"478",186150,"Deezay Phong House's","danceedm","Rachel Mcfarlane - Lover - Remix Dj Phong House ft Dj KeeBin",4581,6.40025744530882,7591,4319,11913,27,1,2017,13,51,1
"480",1144409,"Resident Advisor","ambient","RA.283 Tale Of Us",11064,3.17805383034795,18,1116,143726,5,1,2016,16,34,15
"481",174976,"DHA AM (Deep House London)","electronic","Free Download: Simon Doty Feat. Jinadu - Drifting (Original Mix)",25320,3.43398720448515,397,2077,143743,16,8,2018,13,16,33
"482",694290,"Menumas","electronic","Menumas - Karuna",98802,4.29045944114839,3954,2140,31423,13,11,2018,17,13,49
"493",282860,"DJ WJ DA INESTAN | TROPA DO GORDÃO","rbsoul","MC PW - AQUELE OLHAR (( DJ's WJ DA INESTAN - TG DA INESTAN ))",156484,4.06044301054642,3298,2264,5197,3,8,2018,20,46,21
"494",1143780,"Resident Advisor","ambient","RA.642 Moxie",26324,4.14313472639153,450,1208,143726,17,9,2018,10,43,48
"499",1543026,"Yheti","electronic","▲∞▲ Trifinity Mix ▲∞▲",334892,6.32076829425058,1161,2280,52573,28,4,2016,19,23,37
"503",572604,"LEEDJ - Fb: Bùi Kim Tân - DJ MR.LEE ✪","danceedm","Anh Thích Em Ghệ Miền Tây - DJ KeeBin Remix",12187,6.2363695902037,7629,4229,20271,22,9,2018,12,22,57
"505",65508,"Ashur","electronic","Childish Gambino - Kids Keep Up (Ashur Remix)",27946,5.08759633523238,168,3009,4289,6,5,2018,21,31,13
"506",467408,"Stephen","electronic","Sincerely",2187982,6.25382881157547,4777,4960,95449,24,2,2016,15,13,50
"511",287778,"Drop Central 💧","electronic","Morello - Pursuit",20126,4.96284463025991,9183,2259,57080,1,11,2017,14,15,14
"515",237061,"dj-Jo","danceedm","Black Swallowtail feat. Aelita (dj-Jo Remix)",111546,3.52636052461616,614,1056,66249,25,1,2016,3,29,15
"516",5104,"4i20","electronic","Smoke Weed Every Christmas Set",370715,6.0330862217988,1126,1898,101468,23,12,2015,19,8,0
"517",1314602,"Stickybuds~","drumbass","Basement Freaks - Here Comes Our Dilla (Stickybuds Remix Ft. The Rootsellers)",18209,3.66356164612965,2557,1128,69665,28,10,2010,3,10,51
"526",540009,"Kompakt","electronic","Tom Peters' TXL To JFK Mix",20987,4.24849524204936,6735,5674,165268,26,2,2013,14,19,8
"532",1241850,"SayMaxWell","electronic","Undertale - Hopes And Dreams [Remix]",778731,6.4085287910595,1124,4261,13413,30,12,2015,19,40,59
"538",1322878,"Sweet Musique","deephouse","FREE DL : PRZM - Reloaded (Original Mix)",5021,4.48863636973214,2475,5334,87682,14,3,2017,9,9,40
"545",1457511,"TWOLOUD","danceedm","Binary Finary - 1998 (twoloud Remix) [PREVIEW]",21516,3.2188758248682,3600,5062,60805,8,11,2013,19,49,19
"547",50439,"arael","electronic","submerge (visuals in the description)",51856,4.27666611901606,904,3085,11614,18,4,2017,19,40,21
"548",1254241,"Sertanejo Repost","rock","Henrique E Juliano - Vem Pra Minha Vida",2486681,3.09104245335832,4877,21,87801,5,5,2017,21,8,46
"559",294606,"EATBRAIN","drumbass","Magnetude - Press Play feat Julia Marks (Eatbrain046)",35656,3.25809653802148,239,1139,52808,23,10,2017,12,51,57
"565",322426,"Eric Bellinger","rbsoul","Eric Bellinger - Or Nah ft. Marcus Moody",3354333,6.17586727010576,4932,5172,140061,20,1,2014,1,0,40
"568",574362,"LEGENDA FUNK","rbsoul","MC Doguinha - Nossos Momentos - Viciei na Sua Sentada (DJ Kevin o Chris)",1909022,3.63758615972639,3868,5103,183420,4,11,2017,1,39,20
"571",907689,"Morgan Page","danceedm","Morgan Page - In The Air - Episode 163",52094,4.66343909411207,9123,2217,155645,5,8,2013,13,13,57
"575",41986,"Anjunadeep","deephouse","The Anjunadeep Edition 208 with Ben Böhmer",103269,5.40267738187228,4336,5084,196619,5,7,2018,15,0,6
"582",531265,"kLL sMTH","electronic","Smoothstep",5457,4.0943445622221,1228,1010,22195,7,2,2011,19,57,29
"583",630179,"Machinedrum","electronic","The Glitch Mob - Enter Formless (Machinedrum Remix)",23288,3.43398720448515,9069,1145,176366,13,10,2018,18,42,5
"586",1561108,"Yunizon","electronic","Kasket Club - Spark",125735,3.36729582998647,1916,4303,26225,10,9,2015,18,9,33
"592",1101715,"POWERFUL RAMA","danceedm","By Way Of Admiration (Original Mix)",2316,4.47733681447821,2390,4614,3515,25,12,2015,18,23,22
"593",1029377,"Art of Dance","danceedm","DaY-mar - 666: The devil made me do it! Podcast #3",34323,4.07753744390572,9184,1210,28069,16,9,2013,7,59,20
"595",314167,"Enschway","danceedm","Jai Wolf & Chelsea Jade - Lost (Enschway Remix)",38691,3.29583686600433,523,2105,43105,19,10,2018,5,34,19
"596",624747,"ʟᴜᴄᴀ ʟᴜsʜ","danceedm","DUSK TILL DAWN",524125,4.44265125649032,1066,1297,132753,3,10,2017,19,31,19
"622",109789,"Break & Enter Society","electronic","Trias - Ctclysm",70502,5.47646355193151,1492,4321,44222,27,12,2016,17,37,34
"623",1321507,"SWATTREX","danceedm","Swattrex & Vishar - Shastra (free download)",3195,4.0943445622221,1263,1139,2978,13,1,2018,18,5,36
"626",1322551,"Sweet Musique","deephouse","FREE DL : Lunar Disco - Cheese Cake",2962,3.95124371858143,1207,4614,87682,14,11,2017,11,37,16
"627",1532006,"WIWEK","electronic","Wiwek - Totem (TEASER) Mad Decent/Jeffrees",15865,3.71357206670431,3637,3051,146569,30,3,2012,15,24,57
"628",1393442,"Beats In Space","electronic","Paradis ""Je m'ennuie"" - BIS Records 003",68695,3.71357206670431,550,2148,90704,13,6,2012,14,59,6
"635",1507702,"Wasp Records","danceedm","Fresh Dom - Shape (Original Mix) ★ OUT NOW ON BEATPORT ★",22802,3.29583686600433,1273,4986,10888,21,7,2017,9,5,37
"636",452727,"Hybrid Trap 🔥","trap","Azide x NextRO x Milano - Tenebris",31291,5.42934562895444,164,3103,106971,29,8,2016,17,11,54
"639",1557626,"Nick Nitro","electronic","Underplayer [Undertale AU] - ""Coded_To_Reality"" NITRO Remix",95679,3.63758615972639,768,4197,5106,29,4,2018,23,9,16
"644",1401204,"Tobtok","danceedm","Eat More Cake - Heat Of The Night (Tobtok Remix)",82564,3.3322045101752,1485,3086,37485,6,6,2017,17,24,15
"647",1519883,"Pantheon Select","trap","TMRRW - Rockin",36209,3.04452243772342,9163,1167,191199,26,12,2018,15,27,10
"658",1531914,"WIWEK","electronic","Wiwek - Rebels VIP Ft Al Rocco & Blow Fever",145774,4.47733681447821,5213,5634,146569,18,1,2017,21,29,45
"661",435993,"HEKLER","electronic","HEKLER @ COUNTDOWN NYE 2018 (WHAT THE HEK VOL 4)",29817,4.83628190695148,2076,3753,23259,3,1,2019,23,25,51
"664",1272560,"Sjammienators","danceedm","Sjammienators - Uptempo Is The Tempo Episode 7",73179,4.23410650459726,1935,3121,17356,30,6,2016,20,37,45
"665",452761,"Hybrid Trap 🔥","trap","Rfen x Vaxxe x Zenophaze - Sulika",51792,5.60947179518496,777,4308,106971,25,4,2016,13,58,40
"671",39065,"AMTRAC","electronic","Mark Ronson - Daffodils ft. Kevin Parker (Amtrac & Blu Jemz Night Mix)",325941,4.69134788222914,5230,159,89886,6,12,2016,17,32,12
"673",907992,"Morgan Page","danceedm","Jason Mraz - Make It Mine (Morgan Page Remix)",67247,3.52636052461616,5800,4731,155645,28,10,2009,2,43,43
"677",27180,"Adham Seliman","all-music","أدهم سليمان - أغنيه / Adham Seliman - OghNeya",3813816,5.08759633523238,1115,4161,131535,6,2,2014,15,1,45
"690",1197004,"Riddim Network","danceedm","ARTIX! X CHIBS - DRIVE BY (Riddim Network V2) Free Download",62035,6.45990445437753,3250,53,67797,15,5,2016,17,12,32
"695",1076715,"PERTURBATOR","electronic","Perturbator - Welcome To Nocturne City",97680,3.87120101090789,63,4707,45260,12,7,2012,21,37,54
"696",82884,"Aviwkila","all-music","15ECONDS - Dekat Di Hati (Cover Version)",240903,3.40119738166216,1998,2080,10857,25,11,2014,5,7,21
"699",1241846,"SayMaxWell","electronic","Break My Mind [RUS]",54592,3.58351893845611,8374,4731,13413,18,4,2016,21,3,34
"700",1114555,"Quartzo Records","danceedm","Kristianex - Venom (OUT NOW!) [FREE]",16598,4.60517018598809,6890,5651,142456,1,9,2017,14,18,33
"705",247425,"DJ TiLô","danceedm","Word Up - VAVH ft TILO",14282,6.46614472423762,82,4993,59027,10,9,2018,10,22,3
"709",335754,"Father Funk","electronic","Father Funk - Dance Til You Drop **OUT NOW**",66858,3.78418963391826,263,1126,26378,15,1,2015,17,46,1
"715",564792,"Lane 8","electronic","Lane 8 Winter 2018 Mixtape",178342,6.44413125670044,1039,1241,151577,5,12,2018,18,0,17
"716",691737,"Mefjus","electronic","Mefjus - Continuous [Critical]",51008,4.27666611901606,771,2243,70837,10,10,2014,12,35,48
"717",907577,"Morgan Page","danceedm","Morgan Page - In The Air - Episode 252",25147,3.13549421592915,6710,1103,155645,20,4,2015,4,6,56
"724",661879,"Masters of Hardcore","danceedm","Masters Of Hardcore - The Skull Dynasty | French Connection | Fant4stik live",74591,3.68887945411394,1878,2976,81613,10,5,2017,9,0,58
"726",452517,"Hybrid Trap 🔥","trap","Plain Sight - Losing Light",23626,5.37527840768417,52,2973,106971,12,4,2018,14,30,3
"732",138383,"CLUBLIFE","danceedm","CLUBLIFE by Tiësto Podcast 515- First Hour",102535,3.8286413964891,2152,3705,20865,17,2,2017,15,13,6
"737",564910,"Lane 8","electronic","Lane 8 Winter 2014 Mixtape",254987,5.82304589548302,8159,1641,151577,6,1,2015,16,1,15
